"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190608_20190615.csv"
"C","Report for: 06/08/2019 - 06/15/2019"
"C","Report generated: 07/08/2019 19:54:35 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/08/2019","01",10614.98
"D","06/08/2019","02",9958.89
"D","06/08/2019","03",9799.72
"D","06/08/2019","04",9606.37
"D","06/08/2019","05",9705.22
"D","06/08/2019","06",9911.85
"D","06/08/2019","07",9943.31
"D","06/08/2019","08",10459.39
"D","06/08/2019","09",10937.55
"D","06/08/2019","10",11135.69
"D","06/08/2019","11",11208.12
"D","06/08/2019","12",11279.62
"D","06/08/2019","13",11369.98
"D","06/08/2019","14",11466.96
"D","06/08/2019","15",11703.15
"D","06/08/2019","16",12140.76
"D","06/08/2019","17",12811.59
"D","06/08/2019","18",13519.91
"D","06/08/2019","19",13896.37
"D","06/08/2019","20",13691.58
"D","06/08/2019","21",13421.56
"D","06/08/2019","22",13012.75
"D","06/08/2019","23",12010.25
"D","06/08/2019","24",10900.75
"D","06/09/2019","01",10234.34
"D","06/09/2019","02",10171.58
"D","06/09/2019","03",9901.82
"D","06/09/2019","04",9939.38
"D","06/09/2019","05",9970.13
"D","06/09/2019","06",9944.92
"D","06/09/2019","07",9953.48
"D","06/09/2019","08",9861.76
"D","06/09/2019","09",10002.19
"D","06/09/2019","10",10315.47
"D","06/09/2019","11",10480.33
"D","06/09/2019","12",10688.3
"D","06/09/2019","13",10878.12
"D","06/09/2019","14",11046.73
"D","06/09/2019","15",11315.72
"D","06/09/2019","16",11822.31
"D","06/09/2019","17",12595.4
"D","06/09/2019","18",13463.35
"D","06/09/2019","19",13920.27
"D","06/09/2019","20",13817.72
"D","06/09/2019","21",13707.74
"D","06/09/2019","22",13189.6
"D","06/09/2019","23",11971.0
"D","06/09/2019","24",10792.44
"D","06/10/2019","01",10539.22
"D","06/10/2019","02",10415.99
"D","06/10/2019","03",10268.56
"D","06/10/2019","04",10335.2
"D","06/10/2019","05",10339.03
"D","06/10/2019","06",10614.65
"D","06/10/2019","07",11320.18
"D","06/10/2019","08",12265.62
"D","06/10/2019","09",12482.75
"D","06/10/2019","10",12651.46
"D","06/10/2019","11",12891.89
"D","06/10/2019","12",13139.25
"D","06/10/2019","13",13351.74
"D","06/10/2019","14",13662.42
"D","06/10/2019","15",14033.17
"D","06/10/2019","16",14536.87
"D","06/10/2019","17",14929.76
"D","06/10/2019","18",15401.02
"D","06/10/2019","19",15547.61
"D","06/10/2019","20",15363.62
"D","06/10/2019","21",15244.48
"D","06/10/2019","22",14524.99
"D","06/10/2019","23",13180.37
"D","06/10/2019","24",11960.86
"D","06/11/2019","01",11341.86
"D","06/11/2019","02",10943.14
"D","06/11/2019","03",11115.4
"D","06/11/2019","04",11057.56
"D","06/11/2019","05",11046.78
"D","06/11/2019","06",11611.83
"D","06/11/2019","07",12838.68
"D","06/11/2019","08",14057.92
"D","06/11/2019","09",14532.57
"D","06/11/2019","10",14791.92
"D","06/11/2019","11",14915.6
"D","06/11/2019","12",14489.51
"D","06/11/2019","13",14076.58
"D","06/11/2019","14",14251.29
"D","06/11/2019","15",14192.31
"D","06/11/2019","16",14198.53
"D","06/11/2019","17",14575.83
"D","06/11/2019","18",14834.28
"D","06/11/2019","19",15083.88
"D","06/11/2019","20",14854.35
"D","06/11/2019","21",14527.97
"D","06/11/2019","22",13877.25
"D","06/11/2019","23",12535.39
"D","06/11/2019","24",11206.62
"D","06/12/2019","01",10761.43
"D","06/12/2019","02",10666.93
"D","06/12/2019","03",10677.8
"D","06/12/2019","04",10850.9
"D","06/12/2019","05",11034.29
"D","06/12/2019","06",11629.31
"D","06/12/2019","07",12062.23
"D","06/12/2019","08",12272.05
"D","06/12/2019","09",12534.68
"D","06/12/2019","10",12511.11
"D","06/12/2019","11",12520.08
"D","06/12/2019","12",12401.33
"D","06/12/2019","13",12550.27
"D","06/12/2019","14",12830.17
"D","06/12/2019","15",13013.84
"D","06/12/2019","16",13392.05
"D","06/12/2019","17",13964.34
"D","06/12/2019","18",14480.73
"D","06/12/2019","19",14707.88
