"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20160127.csv"
"C","Report for: 01/27/2016 - 01/27/2016"
"C","Report generated: 06/30/2019 12:48:29 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/27/2016","01",12649.5
"D","01/27/2016","02",12223.65
"D","01/27/2016","03",11800.88
"D","01/27/2016","04",11775.31
"D","01/27/2016","05",12111.88
"D","01/27/2016","06",12992.57
"D","01/27/2016","07",14337.88
"D","01/27/2016","08",15406.65
"D","01/27/2016","09",15518.69
"D","01/27/2016","10",15473.15
"D","01/27/2016","11",15416.47
"D","01/27/2016","12",15183.41
"D","01/27/2016","13",14859.13
"D","01/27/2016","14",14799.82
"D","01/27/2016","15",14848.51
"D","01/27/2016","16",15051.48
"D","01/27/2016","17",15740.65
"D","01/27/2016","18",17055.3
"D","01/27/2016","19",17257.14
"D","01/27/2016","20",16946.62
"D","01/27/2016","21",16383.74
"D","01/27/2016","22",15394.54
"D","01/27/2016","23",14085.56
"D","01/27/2016","24",12950.92
"T","24 lines"
