"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20170606_20170620.csv"
"C","Report for: 06/06/2017 - 06/20/2017"
"C","Report generated: 06/30/2019 12:56:46 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/06/2017","01",10055.63
"D","06/06/2017","02",10073.05
"D","06/06/2017","03",10047.69
"D","06/06/2017","04",10055.92
"D","06/06/2017","05",10077.76
"D","06/06/2017","06",10721.25
"D","06/06/2017","07",12062.44
"D","06/06/2017","08",13215.92
"D","06/06/2017","09",13703.33
"D","06/06/2017","10",13964.34
"D","06/06/2017","11",14216.55
"D","06/06/2017","12",14298.49
"D","06/06/2017","13",14279.83
"D","06/06/2017","14",14154.91
"D","06/06/2017","15",14020.56
"D","06/06/2017","16",14001.61
"D","06/06/2017","17",14172.84
"D","06/06/2017","18",14437.48
"D","06/06/2017","19",14418.19
"D","06/06/2017","20",14251.56
"D","06/06/2017","21",14133.17
"D","06/06/2017","22",13372.36
"D","06/06/2017","23",12088.7
"D","06/06/2017","24",10853.34
"D","06/07/2017","01",10262.59
"D","06/07/2017","02",10014.3
"D","06/07/2017","03",9712.54
"D","06/07/2017","04",9877.26
"D","06/07/2017","05",10170.68
"D","06/07/2017","06",10697.02
"D","06/07/2017","07",11933.18
"D","06/07/2017","08",12933.58
"D","06/07/2017","09",13133.02
"D","06/07/2017","10",13122.39
"D","06/07/2017","11",13062.79
"D","06/07/2017","12",12903.27
"D","06/07/2017","13",12771.39
"D","06/07/2017","14",12783.96
"D","06/07/2017","15",12791.17
"D","06/07/2017","16",12918.87
"D","06/07/2017","17",13244.08
"D","06/07/2017","18",13632.16
"D","06/07/2017","19",13865.02
"D","06/07/2017","20",13903.07
"D","06/07/2017","21",13984.22
"D","06/07/2017","22",13576.11
"D","06/07/2017","23",12233.81
"D","06/07/2017","24",10957.4
"D","06/08/2017","01",10314.45
"D","06/08/2017","02",9840.97
"D","06/08/2017","03",9868.3
"D","06/08/2017","04",9783.7
"D","06/08/2017","05",10012.06
"D","06/08/2017","06",10699.18
"D","06/08/2017","07",11997.04
"D","06/08/2017","08",12722.33
"D","06/08/2017","09",12942.98
"D","06/08/2017","10",13152.43
"D","06/08/2017","11",13322.52
"D","06/08/2017","12",13477.84
"D","06/08/2017","13",13524.68
